"Model","R.Square","Train.MSE","Test.MSE"
"Simple Linear Reg",0.4936,67741.5366364543,71056.5266393383
"Multiple Linear Reg",0.8385,21465.3663527766,24076.6942020922
"Ridge Regression",0.8412,21265.851943428,25079.5500306904
"Lasso Regression",0.8412,21267.9812647287,25076.2551621645
"Elastic Net Regression",0.8412,21266.9146859271,25077.9505332642
