State/ UT,District/ Area,Year,Rape,Kidnapping & Abduction_Total,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Insult to the Modesty of Women_Total,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country
Uttar Pradesh,Bhadohi,2015,12,34,11,12,0,1,0
Uttar Pradesh,Sultanpur,2015,33,129,16,60,0,0,0
Uttar Pradesh,Unnao,2015,42,207,53,162,0,137,0
Uttar Pradesh,Varanasi,2015,79,183,27,163,0,0,0
Uttar Pradesh,Total District(s),2015,3025,10135,2335,7885,11,8660,0
Uttarakhand,Almora,2015,6,21,1,1,0,3,0
Uttarakhand,Bageshwar,2015,7,10,2,8,0,4,0
Uttarakhand,Chamoli,2015,4,21,0,5,0,5,0
Uttarakhand,Champawat,2015,4,4,0,3,0,2,1
Uttarakhand,Dehradun,2015,57,26,11,71,1,168,0
Uttarakhand,Haridwar,2015,75,76,13,88,2,64,0
Uttarakhand,Nainital,2015,32,28,4,48,0,23,0
Uttarakhand,Pauri Garhwal,2015,4,24,3,12,0,3,0
Uttarakhand,Pithoragarh,2015,0,7,1,3,0,7,0
Uttarakhand,Rudra Prayag,2015,2,0,2,1,1,2,0
Uttarakhand,Tehri Garhwal,2015,8,16,3,1,0,3,0
Uttarakhand,Udhamsingh Nagar,2015,72,94,14,72,0,120,1
Uttarakhand,Uttarkashi,2015,12,9,0,5,8,3,0
Uttarakhand,Total District(s),2015,283,336,54,318,12,407,2
West Bengal,North 24 Parganas,2015,69,383,45,302,20,1748,0
West Bengal,South 24 Parganas,2015,111,375,31,250,18,3160,0
West Bengal,Alipurduar,2015,33,76,7,118,2,287,0
West Bengal,Asansol-Durgapur PC,2015,35,71,17,103,2,417,0
West Bengal,Bankura,2015,24,76,14,121,7,333,0
West Bengal,Barrackpur PC,2015,30,137,23,318,9,1201,0
West Bengal,Bidhannagar PC,2015,12,18,6,150,11,308,0
West Bengal,Birbhum,2015,33,28,15,104,3,292,0
West Bengal,Burdwan,2015,55,172,21,247,0,707,0
West Bengal,Coochbehar,2015,63,177,15,131,4,640,0
West Bengal,Dakshin Dinajpur,2015,16,97,18,101,4,293,0
West Bengal,Darjeeling,2015,17,35,3,129,4,201,0
West Bengal,Hooghly,2015,36,169,36,209,1,1142,0
West Bengal,Howrah G. R. P.,2015,3,4,0,14,0,1,0
West Bengal,Howrah PC,2015,13,49,4,234,33,514,0
West Bengal,Howrah Rural,2015,22,100,10,149,0,810,0
West Bengal,Jalpaiguri,2015,53,176,18,124,5,329,0
West Bengal,Jhargram Police District,2015,8,26,7,63,0,97,0
West Bengal,Kharagpur G. R. P.,2015,1,0,1,8,0,2,0
West Bengal,Kolkata,2015,33,194,15,461,262,876,2
West Bengal,Malda,2015,60,241,26,179,6,577,0
West Bengal,Murshidabad,2015,210,298,41,255,18,1771,0
West Bengal,Nadia,2015,69,395,57,80,2,1553,1
West Bengal,Paschim Medinipur,2015,37,208,31,577,11,756,0
West Bengal,Purab Medinipur,2015,50,116,21,99,5,965,0
West Bengal,Purulia,2015,24,30,6,292,1,161,0
West Bengal,Sealdah G. R. P.,2015,0,8,0,26,7,3,0
West Bengal,Siliguri G. R. P.,2015,0,0,0,11,0,0,0
West Bengal,Siliguri PC,2015,32,207,6,157,15,505,0
West Bengal,Uttar Dinajpur,2015,50,72,4,57,5,514,1
West Bengal,Total District(s),2015,1199,3938,498,5069,455,20163,4
A & N Islands,South Andaman,2015,20,11,0,29,4,12,0
A & N Islands,North & Middle Andaman,2015,15,10,0,25,1,2,0
A & N Islands,Nicobar,2015,1,0,0,3,0,0,0
A & N Islands,Total District(s),2015,36,21,0,57,5,14,0
Chandigarh,Chandigarh,2015,72,165,5,76,10,126,0
Chandigarh,Total District(s),2015,72,165,5,76,10,126,0
D&N Haveli,D&N Haveli,2015,8,9,1,5,0,2,0
D&N Haveli,Total District(s),2015,8,9,1,5,0,2,0
Daman & Diu,Daman,2015,4,10,0,7,0,1,0
Daman & Diu,Diu,2015,1,3,0,0,0,2,0
Daman & Diu,Total District(s),2015,5,13,0,7,0,3,0
Delhi UT,Central,2015,85,188,4,256,71,110,0
Delhi UT,Crime Branch,2015,2,1,0,0,0,0,0
Delhi UT,East,2015,239,448,6,588,214,414,0
Delhi UT,EOW,2015,0,0,0,6,0,0,0
Delhi UT,IGI Airport,2015,1,2,0,11,6,0,0
Delhi UT,Metro,2015,4,1,0,15,2,1,0
Delhi UT,New Delhi,2015,22,26,0,48,12,6,0
Delhi UT,North,2015,48,160,2,173,14,114,0
Delhi UT,North-East,2015,244,533,13,486,40,469,0
Delhi UT,North-West,2015,172,373,14,400,80,285,0
Delhi UT,Outer,2015,315,652,28,536,180,563,0
Delhi UT,RAILWAY,2015,15,9,0,13,3,0,0
Delhi UT,South,2015,323,495,10,1183,520,172,0
Delhi UT,South-East,2015,240,475,14,559,141,300,0
Delhi UT,South-West,2015,217,413,13,606,107,397,0
Delhi UT,Spl Cell,2015,0,0,0,1,0,0,0
Delhi UT,SPUWAC,2015,0,0,0,0,0,157,0
Delhi UT,Vigilance,2015,0,0,0,0,0,0,0
Delhi UT,West,2015,272,525,18,486,102,533,0
Delhi UT,Total District(s),2015,2199,4301,122,5367,1492,3521,0
Lakshadweep,Lakshadweep,2015,0,0,0,6,1,2,0
Lakshadweep,Total District(s),2015,0,0,0,6,1,2,0
Puducherry,Karaikal,2015,0,1,0,8,3,0,0
Puducherry,Puducherry,2015,3,13,1,25,7,4,0
Puducherry,Total District(s),2015,3,14,1,33,10,4,0
Puducherry,,,,,,,,,
